Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
ESP 32 CAM,DFR0602,DFR0602,,TOP,0,-1715.35,2701.18
USB 01,AU-Y1005-R,CON4_1X4_USB_AM,Digikey AE9923-ND,TOP,-270,-3112.11,2716.54
D-P-CO,26630401RP2,CON4_1X4_HDR_2663,NorComp 26630401RP2,TOP,-270,-2559.06,3287.4
PG-CO,26630201RP2,CON2_1X2_HDR_2663,NorComp 26630201RP2,TOP,-90,-688.976,2598.43
